result,math,math+science,all
pass,4.20 ,3.74 ,3.60 
pass,4.20 ,4.31 ,3.69 
Additional_pass,4.40 ,3.94 ,3.74 
pass,5.00 ,3.98 ,4.06 
Additional_pass,5.00 ,4.17 ,4.11 
Additional_pass,4.60 ,4.33 ,4.15 
pass,4.60 ,4.02 ,4.17 
Additional_pass,4.60 ,4.01 ,4.18 
pass,4.40 ,4.07 ,4.21 
Additional_pass,3.60 ,4.24 ,4.25 
fail,5.20 ,4.93 ,4.33 
pass,4.40 ,4.16 ,4.36 
Additional_pass,3.80 ,4.28 ,4.38 
Additional_pass,5.80 ,4.42 ,4.39 
Additional_pass,4.20 ,4.57 ,4.40 
Additional_pass,4.20 ,4.02 ,4.43 
Additional_pass,4.20 ,4.67 ,4.45 
Additional_pass,4.60 ,4.99 ,4.48 
pass,4.40 ,3.92 ,4.52 
Additional_pass,4.00 ,4.55 ,4.52 
Additional_pass,4.40 ,4.61 ,4.55 
fail,5.00 ,4.69 ,4.56 
pass,4.80 ,4.55 ,4.56 
Additional_pass,3.60 ,4.71 ,4.59 
pass,5.60 ,5.07 ,4.60 
fail,5.00 ,4.92 ,4.63 
예비,5.20 ,4.43 ,4.63 
fail,2.80 ,3.84 ,4.64 
fail,5.80 ,5.46 ,4.67 
Additional_pass,5.40 ,4.77 ,4.70 
fail,5.40 ,4.98 ,4.72 
Additional_pass,4.60 ,4.52 ,4.80 
fail,4.40 ,4.53 ,4.82 
fail,4.40 ,4.47 ,4.88 
fail,5.40 ,5.10 ,4.89 
fail,6.20 ,4.83 ,5.02 
fail,5.00 ,5.01 ,5.06 
fail,4.20 ,5.21 ,5.07 
Additional_pass,4.60 ,5.21 ,5.11 
fail,5.40 ,4.86 ,5.13 
fail,4.80 ,5.20 ,5.14 
fail,6.80 ,6.32 ,5.16 
fail,4.40 ,5.02 ,5.18 
fail,6.20 ,5.54 ,5.18 
Additional_pass,5.40 ,5.53 ,5.20 
fail,5.20 ,4.91 ,5.20 
fail,5.80 ,4.74 ,5.24 
Additional_pass,5.80 ,5.79 ,5.26 
fail,5.40 ,4.93 ,5.30 
pass,5.80 ,5.20 ,5.32 
fail,4.00 ,5.02 ,5.32 
fail,4.40 ,5.17 ,5.32 
fail,5.60 ,5.55 ,5.36 
Additional_pass,5.20 ,5.22 ,5.36 
fail,5.20 ,5.04 ,5.38 
fail,5.20 ,5.21 ,5.42 
fail,5.00 ,5.51 ,5.42 
pass,4.40 ,5.15 ,5.44 
fail,6.40 ,5.46 ,5.46 
fail,5.00 ,5.62 ,5.49 
fail,6.60 ,6.19 ,5.59 
fail,7.20 ,6.09 ,5.62 
fail,6.40 ,5.85 ,5.81 
fail,5.60 ,5.62 ,5.86 
fail,7.00 ,6.38 ,5.86 
fail,5.80 ,5.86 ,5.90 
fail,5.40 ,6.18 ,5.92 
fail,5.40 ,5.38 ,6.11 
fail,6.60 ,6.35 ,6.18 
fail,6.00 ,6.03 ,6.29 
fail,6.40 ,6.23 ,6.30 
fail,6.40 ,6.35 ,6.35 
fail,6.00 ,6.44 ,6.61 
fail,6.40 ,7.08 ,6.73 
fail,7.60 ,6.99 ,7.00 
