최종,수학,수과,국영수과
합격,4.20 ,3.74 ,3.60 
합격,4.20 ,4.31 ,3.69 
합격,4.40 ,3.94 ,3.74 
합격,5.00 ,3.98 ,4.06 
합격,5.00 ,4.17 ,4.11 
합격,4.60 ,4.33 ,4.15 
합격,4.60 ,4.02 ,4.17 
합격,4.60 ,4.01 ,4.18 
합격,4.40 ,4.07 ,4.21 
합격,3.60 ,4.24 ,4.25 
불합격,5.20 ,4.93 ,4.33 
합격,4.40 ,4.16 ,4.36 
합격,3.80 ,4.28 ,4.38 
합격,5.80 ,4.42 ,4.39 
합격,4.20 ,4.57 ,4.40 
합격,4.20 ,4.02 ,4.43 
합격,4.20 ,4.67 ,4.45 
합격,4.60 ,4.99 ,4.48 
합격,4.40 ,3.92 ,4.52 
합격,4.00 ,4.55 ,4.52 
합격,4.40 ,4.61 ,4.55 
불합격,5.00 ,4.69 ,4.56 
합격,4.80 ,4.55 ,4.56 
합격,3.60 ,4.71 ,4.59 
합격,5.60 ,5.07 ,4.60 
불합격,5.00 ,4.92 ,4.63 
불합격,5.20 ,4.43 ,4.63 
불합격,2.80 ,3.84 ,4.64 
불합격,5.80 ,5.46 ,4.67 
합격,5.40 ,4.77 ,4.70 
불합격,5.40 ,4.98 ,4.72 
합격,4.60 ,4.52 ,4.80 
불합격,4.40 ,4.53 ,4.82 
불합격,4.40 ,4.47 ,4.88 
불합격,5.40 ,5.10 ,4.89 
불합격,6.20 ,4.83 ,5.02 
불합격,5.00 ,5.01 ,5.06 
불합격,4.20 ,5.21 ,5.07 
합격,4.60 ,5.21 ,5.11 
불합격,5.40 ,4.86 ,5.13 
불합격,4.80 ,5.20 ,5.14 
불합격,6.80 ,6.32 ,5.16 
불합격,4.40 ,5.02 ,5.18 
불합격,6.20 ,5.54 ,5.18 
합격,5.40 ,5.53 ,5.20 
불합격,5.20 ,4.91 ,5.20 
불합격,5.80 ,4.74 ,5.24 
합격,5.80 ,5.79 ,5.26 
불합격,5.40 ,4.93 ,5.30 
합격,5.80 ,5.20 ,5.32 
불합격,4.00 ,5.02 ,5.32 
불합격,4.40 ,5.17 ,5.32 
불합격,5.60 ,5.55 ,5.36 
합격,5.20 ,5.22 ,5.36 
불합격,5.20 ,5.04 ,5.38 
불합격,5.20 ,5.21 ,5.42 
불합격,5.00 ,5.51 ,5.42 
합격,4.40 ,5.15 ,5.44 
불합격,6.40 ,5.46 ,5.46 
불합격,5.00 ,5.62 ,5.49 
불합격,6.60 ,6.19 ,5.59 
불합격,7.20 ,6.09 ,5.62 
불합격,6.40 ,5.85 ,5.81 
불합격,5.60 ,5.62 ,5.86 
불합격,7.00 ,6.38 ,5.86 
불합격,5.80 ,5.86 ,5.90 
불합격,5.40 ,6.18 ,5.92 
불합격,5.40 ,5.38 ,6.11 
불합격,6.60 ,6.35 ,6.18 
불합격,6.00 ,6.03 ,6.29 
불합격,6.40 ,6.23 ,6.30 
불합격,6.40 ,6.35 ,6.35 
불합격,6.00 ,6.44 ,6.61 
불합격,6.40 ,7.08 ,6.73 
불합격,7.60 ,6.99 ,7.00 
